?????#??????????# 6,1,6
?????#??????????##?????#??????????# 6,1,6,6,1,6
?????#??????????##?????#??????????##?????#??????????# 6,1,6,6,1,6,6,1,6
?????#??????????##?????#??????????##?????#??????????##?????#??????????# 6,1,6,6,1,6,6,1,6,6,1,6
?????#??????????##?????#??????????##?????#??????????##?????#??????????##?????#??????????# 6,1,6,6,1,6,6,1,6,6,1,6,6,1,6
???.### 1,1,3
???.####???.### 1,1,3,1,1,3
???.####???.####???.### 1,1,3,1,1,3,1,1,3
???.####???.####???.####???.### 1,1,3,1,1,3,1,1,3,1,1,3
.??..??...?##. 1,1,3
.??..??...?##.#.??..??...?##. 1,1,3,1,1,3
.??..??...?##.#.??..??...?##.#.??..??...?##. 1,1,3,1,1,3,1,1,3
.??..??...?##.#.??..??...?##.#.??..??...?##.#.??..??...?##. 1,1,3,1,1,3,1,1,3,1,1,3
?#?#?#?#?#?#?#? 1,3,1,6
?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#? 1,3,1,6,1,3,1,6
?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#? 1,3,1,6,1,3,1,6,1,3,1,6
?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#?#? 1,3,1,6,1,3,1,6,1,3,1,6,1,3,1,6
????.#...#... 4,1,1
????.#...#...#????.#...#... 4,1,1,4,1,1
????.#...#...#????.#...#...#????.#...#... 4,1,1,4,1,1,4,1,1
????.#...#...#????.#...#...#????.#...#...#????.#...#... 4,1,1,4,1,1,4,1,1,4,1,1
????.######..#####. 1,6,5
????.######..#####.#????.######..#####. 1,6,5,1,6,5
????.######..#####.#????.######..#####.#????.######..#####. 1,6,5,1,6,5,1,6,5
????.######..#####.#????.######..#####.#????.######..#####.#????.######..#####. 1,6,5,1,6,5,1,6,5,1,6,5
?###???????? 3,2,1
?###????????#?###???????? 3,2,1,3,2,1
?###????????#?###????????#?###???????? 3,2,1,3,2,1,3,2,1
?###????????#?###????????#?###????????#?###???????? 3,2,1,3,2,1,3,2,1,3,2,1
??????#??#?? 1,1,5,1
??????#??#??#??????#??#?? 1,1,5,1,1,1,5,1
??????#??#??#??????#??#??#??????#??#?? 1,1,5,1,1,1,5,1,1,1,5,1
??????#??#??#??????#??#??#??????#??#??#??????#??#?? 1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1
??????#??#??#??????#??#??#??????#??#??#??????#??#??#??????#??#?? 1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1
?#?#??##?#? 2,5,1
?#?#??##?#?#?#?#??##?#? 2,5,1,2,5,1
?#?#??##?#?#?#?#??##?#?#?#?#??##?#? 2,5,1,2,5,1,2,5,1
?#?#??##?#?#?#?#??##?#?#?#?#??##?#?#?#?#??##?#? 2,5,1,2,5,1,2,5,1,2,5,1
?#?#??##?#?#?#?#??##?#?#?#?#??##?#?#?#?#??##?#?#?#?#??##?#? 2,5,1,2,5,1,2,5,1,2,5,1,2,5,1
